country,type,topic,sum,prop
Chile,theme,salt water,4.270330735,0.004005939
Colombia,theme,salt water,1.102532316,0.002996012
Costa.Rica,theme,salt water,0.19505048,0.00106585
Cuba,theme,salt water,0.001135107,0.000283777
Ecuador,theme,salt water,0.303749016,0.001112634
El.Salvador,theme,salt water,0.022013179,0.002751647
Guatemala,theme,salt water,0.01615288,0.001076859
Honduras,theme,salt water,0.000513781,0.00017126
Jamaica,theme,salt water,0.000649266,0.000649266
Mexico,theme,salt water,12.42894426,0.005441744
Nicaragua,theme,salt water,0.000855432,0.000855432
Panama,theme,salt water,0.213097935,0.001919801
Paraguay,theme,salt water,0.244994171,0.007424066
Peru,theme,salt water,0.540247643,0.001521824
Uruguay,theme,salt water,0.483132662,0.003286617
Venezuela,theme,salt water,0.777400699,0.005436369
Argentina,theme,soil,45.38298551,0.026869737
Bahamas,theme,soil,0.001812947,0.001812947
Belize,theme,soil,1.872596627,0.025652009
Bolivia,theme,soil,3.912162481,0.016507015
Brazil,theme,soil,139.6473832,0.024843868
Chile,theme,soil,26.18501928,0.024563808
Colombia,theme,soil,6.316402253,0.017164137
Costa.Rica,theme,soil,4.864581562,0.026582413
Cuba,theme,soil,0.014272457,0.003568114
Ecuador,theme,soil,8.832194939,0.032352362
El.Salvador,theme,soil,0.040871838,0.00510898
Guatemala,theme,soil,0.135728016,0.009048534
Honduras,theme,soil,0.017718283,0.005906094
Jamaica,theme,soil,0.00038956,0.00038956
Mexico,theme,soil,36.17781862,0.015839675
Nicaragua,theme,soil,0.002566296,0.002566296
Panama,theme,soil,3.263306952,0.029399162
Paraguay,theme,soil,0.157534474,0.004773772
Peru,theme,soil,3.393345394,0.009558719
Uruguay,theme,soil,1.662843553,0.011311861
Venezuela,theme,soil,3.628816371,0.025376338
Argentina,theme,desalination,5.195372111,0.003076005
Bahamas,theme,desalination,0.003945825,0.003945825
Belize,theme,desalination,0.193349443,0.002648623
Bolivia,theme,desalination,0.951200202,0.004013503
Brazil,theme,desalination,56.5576421,0.010061847
